epoch,dense_1_categorical_accuracy,dense_1_loss,dense_2_categorical_accuracy,dense_2_loss,dense_3_categorical_accuracy,dense_3_loss,loss,lr,val_dense_1_categorical_accuracy,val_dense_1_loss,val_dense_2_categorical_accuracy,val_dense_2_loss,val_dense_3_categorical_accuracy,val_dense_3_loss,val_loss
0,0.6113945,1.4622239,0.895245,0.316034,0.9077052,0.27644256,2.0547005574274335,0.001,0.22586138546466827,4.776628017425537,0.390625,2.863737106323242,0.8642327785491943,0.39504170417785645,7.672919750213623
1,0.87294173,0.42892236,0.96352136,0.12157332,0.9633499,0.1165499,0.6670459583190615,0.001,0.7654246687889099,0.8159016370773315,0.6276542544364929,1.3021081686019897,0.9216746687889099,0.24702049791812897,2.434540271759033
2,0.9067369,0.31207743,0.9738569,0.09027679,0.972529,0.08957916,0.49193338827142974,0.001,0.6086238026618958,1.6534112691879272,0.37034255266189575,3.576526641845703,0.9008914232254028,0.29178953170776367,5.249967098236084
3,0.9245419,0.24833338,0.9795945,0.0723648,0.97837174,0.07070242,0.3914006500275378,0.001,0.5675581097602844,1.744648814201355,0.3936798870563507,3.2049014568328857,0.8885216116905212,0.3092900514602661,5.8433966636657715
4,0.9657844,0.11170794,0.9909758,0.03360033,0.98955935,0.034972627,0.18028077384768312,0.0003,0.9166666865348816,0.29581350088119507,0.9404046535491943,0.20100060105323792,0.9752103090286255,0.09656932204961777,0.5005064010620117
5,0.9754393,0.076676436,0.99384737,0.022328304,0.9928902,0.024000173,0.12300490067675499,0.0003,0.9377503991127014,0.24654251337051392,0.9813200831413269,0.08992084115743637,0.9798176884651184,0.08247460424900055,0.31794264912605286
6,0.98214525,0.054830015,0.9952804,0.016011516,0.99461645,0.016700566,0.08754208210985,0.0003,0.9276342391967773,0.2991411089897156,0.9740084409713745,0.11030418425798416,0.9808694124221802,0.08963656425476074,0.21185900270938873
7,0.98614556,0.041841827,0.9962985,0.01172682,0.99618226,0.011942776,0.06551145562089494,0.0003,0.9005408883094788,0.4411279261112213,0.9164663553237915,0.3023446202278137,0.973707914352417,0.12916328012943268,0.8637096881866455
8,0.9880101,0.035672024,0.9968628,0.010132725,0.99664706,0.009750724,0.0555554702231613,0.0003,0.9300380349159241,0.30522578954696655,0.9635416865348816,0.14760829508304596,0.9773136973381042,0.11091581732034683,0.6416349411010742
9,0.9963704,0.01276461,0.9990539,0.00334038,0.99904835,0.0031112928,0.019216277737667778,9e-05,0.9481169581413269,0.24680747091770172,0.9854767918586731,0.0867396667599678,0.9838742017745972,0.08769956976175308,0.32330411672592163
10,0.9985393,0.0064702947,0.99965143,0.0015096511,0.99965143,0.0015613545,0.0095413023339721,9e-05,0.9466145634651184,0.27929407358169556,0.9828225374221802,0.10354406386613846,0.9827724099159241,0.10502266138792038,0.6521368622779846
11,0.999491,0.0034891863,0.99987274,0.0009180255,0.99987274,0.0007781145,0.005185327398870734,2.7e-05,0.9496194124221802,0.2561260759830475,0.9854767918586731,0.09726723283529282,0.9838241338729858,0.09844542294740677,0.6851112246513367
12,0.9997123,0.0025379064,0.9999115,0.00067875057,0.9999225,0.0005581342,0.0037747906527888274,2.7e-05,0.9500700831413269,0.26111650466918945,0.9859274625778198,0.09493238478899002,0.9839743375778198,0.09759949147701263,0.7121707201004028
13,0.99985063,0.0019171454,0.9999779,0.0005140152,0.9999447,0.0004455626,0.002876721797369997,8.1e-06,0.9497195482254028,0.26040124893188477,0.9857772588729858,0.09746816009283066,0.9844250679016113,0.0974920317530632,0.8762602806091309
14,0.9998783,0.0017256434,0.9999557,0.00048491004,0.99997234,0.000364565,0.0025751176401517663,8.1e-06,0.9504707455635071,0.26279857754707336,0.9860276579856873,0.09747913479804993,0.984375,0.09849110245704651,0.07296755909919739
15,0.99990594,0.0015803553,0.9999668,0.00043929127,0.9999779,0.0003296013,0.0023492480951673666,8.1e-06,0.950120210647583,0.26725324988365173,0.9855769276618958,0.10010618716478348,0.9844250679016113,0.10065693408250809,0.5433098077774048
16,0.99991703,0.0014301562,0.99995023,0.00042989053,0.99997234,0.000319461,0.002179508015290648,8.1e-06,0.950270414352417,0.2665731608867645,0.9858773946762085,0.10122586041688919,0.9841746687889099,0.10116073489189148,0.35610201954841614
17,0.9999115,0.0013593487,0.9999889,0.00036461436,0.99996126,0.0003212766,0.002045241123109544,2.43e-06,0.9502203464508057,0.26856985688209534,0.9858773946762085,0.10067152231931686,0.9840244650840759,0.10190674662590027,0.5464024543762207
18,0.99993914,0.0012649855,0.9999668,0.000385659,1.0,0.00026007553,0.001910720780643449,2.43e-06,0.9503706097602844,0.26984021067619324,0.9858273267745972,0.10078069567680359,0.9842247366905212,0.1020297184586525,0.4588451385498047
19,0.9999447,0.0012556728,0.9999779,0.00036025958,1.0,0.00023737675,0.0018533103108195332,7.29e-07,0.9498196840286255,0.2694768011569977,0.9858773946762085,0.10090577602386475,0.9842748641967773,0.10270511358976364,0.7253491878509521
20,0.99995023,0.0012294458,0.9999889,0.0003340833,0.99999446,0.00027927227,0.001842802092832432,7.29e-07,0.9504206776618958,0.268472284078598,0.9858273267745972,0.10108347982168198,0.9842247366905212,0.10144014656543732,0.424319863319397
21,0.99990594,0.0012639967,0.99997234,0.00036494902,0.9999889,0.00024947827,0.001878422399793264,2.1870001e-07,0.9501702785491943,0.2708492577075958,0.9859274625778198,0.10106455534696579,0.984375,0.10101589560508728,0.3519042730331421
22,0.99995023,0.0011996106,0.9999779,0.00034797355,0.99996126,0.00026817212,0.0018157562508169303,2.1870001e-07,0.9507211446762085,0.27022555470466614,0.9859775900840759,0.10024049133062363,0.9841746687889099,0.10264929383993149,0.3015240430831909
23,0.9999557,0.0012637618,0.99997234,0.0003524305,0.9999668,0.00025689852,0.0018730909044307883,6.561e-08,0.950270414352417,0.2695997357368469,0.9857772588729858,0.10175339132547379,0.9840745329856873,0.10288792103528976,0.4717682898044586
24,0.9999557,0.0012144201,0.9999779,0.00032720005,0.99998343,0.00023945872,0.001781077973476414,6.561e-08,0.9501702785491943,0.2691720426082611,0.9856770634651184,0.10174760967493057,0.984375,0.10270073264837265,0.3261431157588959
